season,year,city,fulltimehomegoals,fulltimeawaygoals,fulltimeresult,home_win,median_salary_gross_gbp_monthly,cost_of_living_index,affordability_ratio,rent_to_income_pct,region,population_approx,real_wealth
2010/11,2010,birmingham,3,0,H,1,1972,67.8,1.39,27.9,West Midlands,1150000,29.085545722713867
2010/11,2010,london,6,0,H,1,3285,95.6,1.33,36.2,London,9700000,34.361924686192474
2010/11,2010,sunderland,2,2,D,0,2021,62.8,1.36,29.0,North East,336000,32.181528662420384
2010/11,2010,london,0,0,D,0,3285,95.6,1.33,36.2,London,9700000,34.361924686192474
2010/11,2010,wolverhampton,2,1,H,1,2121,64.5,1.48,25.8,West Midlands,263000,32.883720930232556
2010/11,2010,liverpool,1,1,D,0,1907,62.9,1.33,29.1,North West,498000,30.31796502384738
2010/11,2010,london,1,3,A,0,3285,95.6,1.33,36.2,London,9700000,34.361924686192474
2010/11,2010,london,2,2,D,0,3285,95.6,1.33,36.2,London,9700000,34.361924686192474
2010/11,2010,blackpool,2,2,D,0,2098,56.1,1.68,21.5,North West,149000,37.39750445632799
2010/11,2010,london,2,0,H,1,3285,95.6,1.33,36.2,London,9700000,34.361924686192474
2010/11,2010,london,0,1,A,0,3285,95.6,1.33,36.2,London,9700000,34.361924686192474
2010/11,2010,wolverhampton,1,1,D,0,2121,64.5,1.48,25.8,West Midlands,263000,32.883720930232556
2010/11,2010,birmingham,1,0,H,1,1972,67.8,1.39,27.9,West Midlands,1150000,29.085545722713867
2010/11,2010,liverpool,1,0,H,1,1907,62.9,1.33,29.1,North West,498000,30.31796502384738
2010/11,2010,sunderland,1,0,H,1,2021,62.8,1.36,29.0,North East,336000,32.181528662420384
2010/11,2010,london,4,1,H,1,3285,95.6,1.33,36.2,London,9700000,34.361924686192474
2010/11,2010,liverpool,3,3,D,0,1907,62.9,1.33,29.1,North West,498000,30.31796502384738
2010/11,2010,london,2,1,H,1,3285,95.6,1.33,36.2,London,9700000,34.361924686192474
2010/11,2010,birmingham,1,1,D,0,1972,67.8,1.39,27.9,West Midlands,1150000,29.085545722713867
2010/11,2010,liverpool,0,1,A,0,1907,62.9,1.33,29.1,North West,498000,30.31796502384738
2010/11,2010,sunderland,1,1,D,0,2021,62.8,1.36,29.0,North East,336000,32.181528662420384
2010/11,2010,london,3,1,H,1,3285,95.6,1.33,36.2,London,9700000,34.361924686192474
2010/11,2010,london,4,0,H,1,3285,95.6,1.33,36.2,London,9700000,34.361924686192474
2010/11,2010,london,2,3,A,0,3285,95.6,1.33,36.2,London,9700000,34.361924686192474
2010/11,2010,blackpool,1,2,A,0,2098,56.1,1.68,21.5,North West,149000,37.39750445632799
2010/11,2010,liverpool,2,2,D,0,1907,62.9,1.33,29.1,North West,498000,30.31796502384738
2010/11,2010,london,1,0,H,1,3285,95.6,1.33,36.2,London,9700000,34.361924686192474
2010/11,2010,wolverhampton,1,2,A,0,2121,64.5,1.48,25.8,West Midlands,263000,32.883720930232556
2010/11,2010,sunderland,0,0,D,0,2021,62.8,1.36,29.0,North East,336000,32.181528662420384
2010/11,2010,london,1,1,D,0,3285,95.6,1.33,36.2,London,9700000,34.361924686192474
2010/11,2010,liverpool,1,2,A,0,1907,62.9,1.33,29.1,North West,498000,30.31796502384738
2010/11,2010,birmingham,0,0,D,0,1972,67.8,1.39,27.9,West Midlands,1150000,29.085545722713867
2010/11,2010,london,1,2,A,0,3285,95.6,1.33,36.2,London,9700000,34.361924686192474
