year,city,region,city_tier,population_approx,median_salary_gross_gbp_monthly,median_salary_net_gbp_monthly,median_salary_gross_gbp_annual,national_median_gross_gbp_monthly,national_median_gross_gbp_annual,national_min_wage_gbp_monthly,national_nlw_hourly_gbp,salary_to_national_ratio,cpi_annual_pct,cost_of_living_index,rent_1br_city_center_gbp,rent_1br_outside_center_gbp,meal_cheap_restaurant_gbp,groceries_monthly_gbp,public_transport_monthly_gbp,est_monthly_cost_single_gbp,affordability_ratio,rent_to_income_pct,data_source
2010,London,London,megacity,9700000,3285,2382,39420,2157,25879,1028,5.93,1.523,3.3,95.6,1543,1190,10,228,106,1791,1.33,36.2,numbeo
2011,London,London,megacity,9700000,3289,2385,39468,2183,26200,1054,6.08,1.507,4.5,96.7,1664,1268,11,241,112,1911,1.25,38.6,numbeo
2012,London,London,megacity,9700000,3390,2458,40680,2208,26500,1073,6.19,1.535,2.8,96.6,1679,1250,11,253,122,1917,1.28,36.9,numbeo
2013,London,London,megacity,9700000,3427,2485,41124,2250,27000,1094,6.31,1.523,2.6,96.7,1773,1291,12,260,124,1988,1.25,37.7,numbeo
2014,London,London,megacity,9700000,3541,2567,42492,2267,27200,1127,6.5,1.562,1.5,96.7,1806,1337,12,257,121,2030,1.26,37.8,numbeo
2015,London,London,megacity,9700000,3534,2562,42408,2304,27645,1161,6.7,1.534,0.1,97.1,1775,1405,12,260,121,2101,1.22,39.8,numbeo
2016,London,London,megacity,9700000,3636,2636,43632,2350,28195,1248,7.2,1.547,0.7,97.3,1883,1319,12,260,122,2016,1.31,36.3,numbeo
2017,London,London,megacity,9700000,3577,2593,42924,2413,28954,1300,7.5,1.482,2.7,97.9,1873,1436,12,266,125,2144,1.21,40.1,numbeo
2018,London,London,megacity,9700000,3618,2623,43416,2463,29559,1357,7.83,1.469,2.5,98.7,1926,1374,12,273,131,2097,1.25,38.0,numbeo
2019,London,London,megacity,9700000,3677,2666,44124,2532,30378,1423,8.21,1.452,1.7,98.1,1893,1441,13,284,128,2194,1.22,39.2,numbeo
2020,London,London,megacity,9700000,3732,2706,44784,2622,31461,1511,8.72,1.423,0.9,99.1,1946,1526,13,292,138,2297,1.18,40.9,numbeo
2021,London,London,megacity,9700000,4009,2907,48108,2648,31772,1544,8.91,1.514,2.5,98.9,2039,1481,13,287,132,2243,1.3,36.9,numbeo
2022,London,London,megacity,9700000,4126,2991,49512,2750,33000,1647,9.5,1.5,9.1,99.9,2185,1573,14,330,156,2430,1.23,38.1,numbeo
2023,London,London,megacity,9700000,4133,2996,49596,2914,34963,1806,10.42,1.418,7.3,100,2320,1838,16,329,157,2741,1.09,44.5,numbeo
2024,London,London,megacity,9700000,4402,3191,52824,3119,37430,1983,11.44,1.411,2.6,100,2484,1841,17,351,164,2796,1.14,41.8,numbeo
2010,Croydon,London,city_large,385000,3267,2369,39204,2157,25879,1028,5.93,1.515,3.3,74.8,728,562,8,192,56,1037,2.28,17.2,ons_modeled
2011,Croydon,London,city_large,385000,3148,2282,37776,2183,26200,1054,6.08,1.442,4.5,74.5,746,620,9,205,59,1134,2.01,19.7,ons_modeled
2012,Croydon,London,city_large,385000,3208,2326,38496,2208,26500,1073,6.19,1.453,2.8,74.3,768,600,10,204,61,1137,2.05,18.7,ons_modeled
2013,Croydon,London,city_large,385000,3342,2423,40104,2250,27000,1094,6.31,1.485,2.6,74.9,792,616,10,206,65,1160,2.09,18.4,ons_modeled
2014,Croydon,London,city_large,385000,3256,2361,39072,2267,27200,1127,6.5,1.436,1.5,73.9,825,626,10,214,66,1181,2.0,19.2,ons_modeled
2015,Croydon,London,city_large,385000,3216,2332,38592,2304,27645,1161,6.7,1.396,0.1,75.0,819,629,9,222,62,1168,2.0,19.6,ons_modeled
2016,Croydon,London,city_large,385000,3251,2357,39012,2350,28195,1248,7.2,1.383,0.7,74.8,844,652,10,224,63,1214,1.94,20.1,ons_modeled
2017,Croydon,London,city_large,385000,3379,2450,40548,2413,28954,1300,7.5,1.4,2.7,74.7,822,672,10,223,64,1236,1.98,19.9,ons_modeled
2018,Croydon,London,city_large,385000,3404,2468,40848,2463,29559,1357,7.83,1.382,2.5,75.4,851,651,10,231,65,1226,2.01,19.1,ons_modeled
2019,Croydon,London,city_large,385000,3625,2628,43500,2532,30378,1423,8.21,1.432,1.7,75.5,921,665,10,227,66,1239,2.12,18.3,ons_modeled
2020,Croydon,London,city_large,385000,3711,2690,44532,2622,31461,1511,8.72,1.415,0.9,75.1,928,671,10,233,69,1254,2.15,18.1,ons_modeled
2021,Croydon,London,city_large,385000,3593,2605,43116,2648,31772,1544,8.91,1.357,2.5,74.6,961,735,11,242,68,1348,1.93,20.5,ons_modeled
2022,Croydon,London,city_large,385000,3811,2763,45732,2750,33000,1647,9.5,1.386,9.1,75.6,961,773,12,257,80,1441,1.92,20.3,ons_modeled
2023,Croydon,London,city_large,385000,3916,2839,46992,2914,34963,1806,10.42,1.344,7.3,74.9,1106,827,13,292,83,1559,1.82,21.1,ons_modeled
2024,Croydon,London,city_large,385000,4363,3163,52356,3119,37430,1983,11.44,1.399,2.6,75.9,1107,832,13,292,83,1567,2.02,19.1,ons_modeled
2010,Bromley,London,city_medium,330000,2906,2107,34872,2157,25879,1028,5.93,1.347,3.3,64.0,563,449,8,176,47,899,2.34,15.5,ons_modeled
2011,Bromley,London,city_medium,330000,2872,2082,34464,2183,26200,1054,6.08,1.316,4.5,64.9,574,492,8,189,51,962,2.16,17.1,ons_modeled
2012,Bromley,London,city_medium,330000,2999,2174,35988,2208,26500,1073,6.19,1.358,2.8,63.9,621,486,9,183,52,973,2.23,16.2,ons_modeled
2013,Bromley,London,city_medium,330000,3122,2263,37464,2250,27000,1094,6.31,1.388,2.6,64.6,607,478,9,192,51,974,2.32,15.3,ons_modeled
2014,Bromley,London,city_medium,330000,2921,2118,35052,2267,27200,1127,6.5,1.288,1.5,64.9,632,532,9,200,55,1042,2.03,18.2,ons_modeled
2015,Bromley,London,city_medium,330000,3065,2222,36780,2304,27645,1161,6.7,1.33,0.1,64.7,663,508,9,201,55,1019,2.18,16.6,ons_modeled
2016,Bromley,London,city_medium,330000,3104,2250,37248,2350,28195,1248,7.2,1.321,0.7,64.3,641,505,9,193,53,1006,2.24,16.3,ons_modeled
2017,Bromley,London,city_medium,330000,3138,2275,37656,2413,28954,1300,7.5,1.3,2.7,64.9,643,529,10,203,54,1063,2.14,16.9,ons_modeled
2018,Bromley,London,city_medium,330000,3180,2306,38160,2463,29559,1357,7.83,1.291,2.5,64.6,689,554,9,203,57,1073,2.15,17.4,ons_modeled
2019,Bromley,London,city_medium,330000,3383,2453,40596,2532,30378,1423,8.21,1.336,1.7,64.9,691,557,10,218,59,1115,2.2,16.5,ons_modeled
2020,Bromley,London,city_medium,330000,3426,2484,41112,2622,31461,1511,8.72,1.307,0.9,64.6,711,552,10,217,60,1110,2.24,16.1,ons_modeled
2021,Bromley,London,city_medium,330000,3475,2519,41700,2648,31772,1544,8.91,1.312,2.5,65.7,707,543,10,227,58,1111,2.27,15.6,ons_modeled
2022,Bromley,London,city_medium,330000,3430,2487,41160,2750,33000,1647,9.5,1.247,9.1,65.3,779,617,11,250,66,1244,2.0,18.0,ons_modeled
2023,Bromley,London,city_medium,330000,3807,2760,45684,2914,34963,1806,10.42,1.306,7.3,65.4,858,688,12,250,70,1345,2.05,18.1,ons_modeled
2024,Bromley,London,city_medium,330000,4100,2972,49200,3119,37430,1983,11.44,1.315,2.6,66.0,855,675,11,265,75,1335,2.23,16.5,ons_modeled
2010,Ealing,London,city_medium,340000,2857,2071,34284,2157,25879,1028,5.93,1.325,3.3,64.6,555,448,8,176,46,897,2.31,15.7,ons_modeled
2011,Ealing,London,city_medium,340000,2973,2155,35676,2183,26200,1054,6.08,1.362,4.5,64.2,608,485,8,182,50,947,2.28,16.3,ons_modeled
2012,Ealing,London,city_medium,340000,3030,2197,36360,2208,26500,1073,6.19,1.372,2.8,64.1,583,501,8,190,51,974,2.26,16.5,ons_modeled
2013,Ealing,London,city_medium,340000,2994,2171,35928,2250,27000,1094,6.31,1.331,2.6,64.7,655,518,9,202,54,1027,2.11,17.3,ons_modeled
